timestep,esc_msg_time_ms,esc_receive_time_ms,force_msg_time_ms,force_receive_time_ms,force_x,force_y,force_z,force_norm,torque_x,torque_y,torque_z,power_current,rotor0_target_thrust,rotor0_rpm,rotor0_esc_current,rotor0_esc_voltage,rotor0_temperature,rotor0_crc_error
16.860015,1782129042877.011719,1782129042870.362793,1782129042879.953125,1782129042880.351562,0.030000,-0.195000,-0.090000,0.216852,0.017200,0.002800,-0.008400,0.600000,3.863780,5828,120.890000,24.780000,39,0
16.870014,1782129042890.011475,1782129042890.306885,1782129042889.941162,1782129042890.314453,0.045000,-0.195000,0.000000,0.200125,0.014400,0.004400,-0.004000,0.600000,3.857071,5828,120.890000,24.780000,39,121
16.880013,1782129042901.011719,1782129042900.318848,1782129042889.941162,1782129042890.314453,0.045000,-0.195000,0.000000,0.200125,0.014400,0.004400,-0.004000,0.600000,3.851987,5828,120.770000,24.790000,38,158
16.890128,1782129042913.011719,1782129042910.302246,1782129042909.961182,1782129042910.308838,0.075000,0.060000,0.000000,0.096047,-0.006000,0.003200,-0.003200,0.600000,3.848501,5828,120.770000,24.790000,38,131
16.900083,1782129042925.011719,1782129042920.474609,1782129042919.866211,1782129042920.483154,0.060000,0.075000,-0.060000,0.113248,-0.006000,0.004000,0.002000,0.600000,3.846695,5814,120.890000,24.760000,39,139
16.910093,1782129042933.011719,1782129042930.411865,1782129042929.852051,1782129042930.418213,-0.015000,0.060000,-0.030000,0.068739,-0.002400,0.002000,0.003200,0.600000,3.846503,5814,120.890000,24.760000,39,244
16.920089,1782129042945.011719,1782129042940.418457,1782129042939.845947,1782129042940.427979,0.000000,0.000000,0.030000,0.030000,-0.005200,0.003600,0.000800,0.600000,3.847931,5814,120.890000,24.760000,39,60
16.930108,1782129042957.011719,1782129042950.415527,1782129042949.848145,1782129042950.425049,0.090000,-0.075000,0.030000,0.120934,-0.008400,0.003600,-0.005200,0.600000,3.850977,5785,120.730000,24.750000,38,0
16.940095,1782129042965.011719,1782129042960.433350,1782129042959.846436,1782129042960.442871,-0.015000,-0.105000,0.000000,0.106066,-0.002800,0.000800,-0.008400,0.600000,3.855613,5785,120.730000,24.750000,38,180
16.950110,1782129042977.011719,1782129042970.421631,1782129042969.844971,1782129042970.431152,-0.045000,-0.090000,0.000000,0.100623,0.006000,-0.000400,-0.008000,0.600000,3.861853,5771,120.530000,24.780000,39,0
16.960084,1782129042990.011475,1782129042980.436279,1782129042979.847168,1782129042980.445801,-0.015000,-0.060000,0.030000,0.068739,0.008400,0.000800,-0.004000,0.600000,3.869637,5771,120.530000,24.780000,39,108
16.970115,1782129043001.011719,1782129042990.418457,1782129042979.847168,1782129042980.445801,-0.015000,-0.060000,0.030000,0.068739,0.008400,0.000800,-0.004000,0.600000,3.879028,5785,120.610000,24.770000,38,98
16.980098,1782129043001.011719,1782129042990.418457,1782129042999.861816,1782129043000.479004,0.030000,0.000000,0.030000,0.042426,-0.007600,0.003200,-0.005200,0.600000,3.889910,5785,120.610000,24.770000,38,98
16.990015,1782129043013.011719,1782129043010.412109,1782129043009.846191,1782129043010.421875,0.075000,-0.120000,-0.030000,0.144655,0.002800,0.005600,0.000400,0.600000,3.902216,5785,120.610000,24.770000,38,187
17.000018,1782129043021.011719,1782129043020.367676,1782129043019.844482,1782129043020.374268,0.030000,-0.150000,0.000000,0.152971,0.016800,0.000800,-0.002000,0.600000,3.916117,5814,120.770000,24.810000,38,68
17.010114,1782129043033.011719,1782129043030.347168,1782129043029.858887,1782129043030.362061,-0.015000,-0.165000,0.030000,0.168375,0.015200,-0.003200,-0.002400,0.600000,3.931633,5814,120.770000,24.810000,38,218
17.020026,1782129043045.011719,1782129043040.454590,1782129043039.856445,1782129043040.464600,0.015000,-0.060000,0.060000,0.086168,-0.001200,-0.000800,-0.002400,0.600000,3.948294,5828,120.970000,24.800000,38,133
17.030145,1782129043057.011719,1782129043050.393066,1782129043049.853516,1782129043050.406494,0.045000,0.030000,0.000000,0.054083,-0.009200,0.001600,-0.004800,0.600000,3.966729,5857,120.890000,24.790000,39,0
17.040022,1782129043065.011719,1782129043060.485352,1782129043059.854492,1782129043060.497559,0.045000,0.090000,0.000000,0.100623,-0.008800,0.000400,-0.002800,0.600000,3.986082,5857,120.890000,24.790000,39,163
17.050096,1782129043077.011719,1782129043070.358398,1782129043069.851562,1782129043070.367432,-0.045000,0.105000,-0.030000,0.118110,-0.004000,0.000800,-0.005600,0.600000,4.007166,5857,120.890000,24.790000,39,52
17.060109,1782129043085.011719,1782129043080.443848,1782129043069.851562,1782129043070.367432,-0.045000,0.105000,-0.030000,0.118110,-0.004000,0.000800,-0.005600,0.600000,4.029435,5857,120.890000,24.790000,39,247
