robot,beetle1
frame_id,cog
child_frame_id,cog
time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,a1,a2,a3,a4,control effort,fc1,fc2,fc3,fc4,ac1,ac2,ac3,ac4
5.06958830,0.75563638,-0.28658865,1.23621515,2.55782121,2.92260547,0.31651344,0.53069760,0.00849058,-0.80365029,-0.26913600,3.53911630,2.61122005,2.44546942,1.44654190,2.09138656,-1.78801556,-1.86823570,2810.89526152,8.70373600,9.51365483,7.17114594,9.07851910,2.72288178,2.40802222,-3.13676995,-2.07588713
5.18263293,1.05422426,0.02700566,1.25802065,2.78040033,2.68001287,0.06650623,0.64662415,0.04102315,-0.76033588,-0.04564707,2.84324844,1.83514744,2.06016051,1.90722842,2.06256234,-2.11681961,-1.50823974,2842.80313220,8.55375113,8.23387655,7.76501899,8.01246319,1.65658378,1.82115866,-1.65406082,-0.92276426
5.29567755,1.37410655,0.32802875,1.24853732,2.80080372,2.65975369,-0.24983573,0.68735002,0.03872716,-0.71538306,0.11948742,1.48944783,0.60187261,1.75883656,1.46279219,1.48080549,-1.62929693,-0.97291839,2870.19692813,7.61861665,7.41137194,7.38968627,7.23747301,1.06872804,0.90877847,-1.31880879,-0.68213977
5.40872218,1.66995868,0.62639131,1.19837755,2.37121356,2.59013332,-0.65289235,0.67404700,0.01981079,-0.69660907,0.24495710,1.69808243,-0.13295212,2.22619977,0.96711580,0.43428236,-1.52007896,-0.80308763,2896.33498564,7.39789621,6.92113500,8.44536027,8.32995862,0.60187499,-0.50541070,-1.58462191,-0.77894358
5.52176680,1.90000003,0.90000001,1.10000000,1.67309343,2.14881420,-1.06045384,0.59440258,-0.01890437,-0.64734864,0.47672627,3.62102465,0.19547137,5.21711709,0.80421175,-0.36098456,-1.20698169,-0.13454130,2935.05620304,9.54075046,12.35921346,11.79186917,8.60462313,0.83702344,-0.74762715,-0.77303031,0.68704586
5.85363294,2.14843986,1.27660912,0.81206596,-0.24045016,0.44607779,-0.32995632,-0.10077250,-0.54321650,-0.18049244,0.81374641,-1.55213524,1.45781176,3.14865840,-0.59491883,-0.98614475,0.92996505,1.22929415,3146.04360768,12.45407983,11.17410050,14.64595698,19.03931584,-1.07987597,-1.07795901,1.52003111,1.43640988
6.18549907,1.78813543,1.29999999,0.80778914,-2.05006030,-0.20101170,-0.04899537,0.13244436,-0.46929292,-0.35056229,0.79958035,1.70316873,-0.33979099,-4.90132198,0.33030088,-1.19326932,-0.64729891,1.56497493,3348.13979403,11.32267602,8.26053070,8.33985079,11.43533118,0.79514771,-1.23497989,-1.36610161,1.61442803
6.51736520,0.93037367,1.23683801,0.80002414,-2.99999996,-0.29350402,0.08509816,0.61474345,0.28926031,-0.55306798,0.48221860,-0.53215883,-4.02309869,-2.94736825,1.56539099,1.04101166,-1.52865962,-1.52018610,3498.11132337,8.81358680,9.47500359,12.93591610,13.54122856,1.83982908,1.81211757,-1.60404773,-2.58241828
6.84923133,-0.06380212,1.20915689,0.82215509,-2.99999757,0.00326457,-0.00920953,0.51946821,0.47387496,-0.42752399,0.56817122,2.59255470,1.90963008,0.78326996,1.29983640,1.55155951,-1.45639170,-1.34135873,3644.32712168,9.70810367,9.01227621,8.15162410,11.42616552,1.12433202,1.48484967,-1.40841137,-0.95014260
7.18109747,-1.06045763,1.16492540,0.80110673,-2.92179809,-0.32949691,-0.04777346,0.27484814,0.53788348,-0.27460984,0.74815058,1.35758461,-0.81765519,1.13709545,1.25681159,1.17512983,-1.29700964,-1.15489336,3780.34638467,11.59764324,9.32220114,10.72162521,10.69984348,1.29682469,1.06815957,-1.25785895,-1.21335834
7.51296360,-1.90000004,0.90000009,0.80000000,-1.85320656,-1.34114473,0.02681843,0.02381137,0.54406279,-0.20234796,0.81393120,1.13283164,0.24957058,0.14468045,1.04037237,0.65540631,-1.03208945,-0.46145387,3932.39377860,12.23861639,10.54676264,10.23295497,10.03013300,0.95448016,0.51234211,-0.95438047,-0.20796624
7.87317726,-2.20246054,0.30828179,0.81728758,-0.05442300,-1.81571825,0.04741113,0.07800651,0.57636644,-0.06479179,0.81087529,-0.25516923,-0.40686272,-0.15363388,1.00521463,1.15103491,-1.13531480,-1.14165474,4083.88142779,9.08126527,8.45565222,10.70056183,10.54689341,1.01908680,1.34420895,-1.18930415,-1.42317466
8.23339092,-1.98602993,-0.38184269,0.80511506,1.54214363,-1.80852012,-0.21247982,-0.36531648,0.58696651,-0.07624159,0.71847158,5.58265405,-1.68844475,4.88839313,0.69330645,-0.13979839,-1.72806766,0.02766347,4232.43538056,10.63975216,10.79472181,12.76675132,7.69141382,0.59360570,-0.59139081,-1.89446912,0.46733138
8.59360459,-1.26531716,-0.86264155,0.80000022,2.48199849,-1.14041470,0.30179546,-0.51552438,-0.27765294,-0.55776717,-0.58825100,1.47859043,11.23816931,4.24417436,-1.13469442,1.47745964,1.67626339,-0.56528682,4408.32963807,5.64699416,13.96561845,15.57894938,8.33897631,-1.66704177,2.10342157,2.76875497,-0.87348741
8.95381825,-0.48187507,-1.22436670,0.90313910,1.65475241,-0.71926261,0.36922866,-0.11750625,0.07319613,-0.68367918,-0.71653150,-2.88502051,-1.17833767,0.78012091,-1.40223713,1.94425825,0.59064093,-1.60866148,4623.00503759,13.83187899,12.00748709,10.27366748,16.30521797,-1.33149290,1.90778272,-0.05618825,-1.84035992
9.31403191,-0.06177711,-1.23472309,1.05895178,0.76414899,1.11189514,0.28476409,0.52156146,-0.52342544,-0.45724888,-0.49489686,6.92537576,-1.54782431,4.05363615,1.83604252,-0.22706627,-1.93914175,0.12318835,4842.19387327,17.98613934,13.44584998,7.78054532,3.25131730,2.80948746,-0.88292530,-2.52975938,0.72118016
9.67424557,-0.00999994,-1.00999999,0.99000000,0.00999997,0.00999998,-0.00999980,0.99985005,0.00999849,-0.00999850,-0.00999732,-0.00999989,0.00953976,-0.00999984,-0.00999997,-0.00999983,-0.00855768,-0.00998031,5028.72697880,13.63577800,2.14176570,10.63840989,16.26960280,-0.85600477,0.24492291,0.75347396,-0.22254186
